"predictor","response"
94,4.43979172909438e+81
111,2.59044861871639e+96
83,1.23846573672921e+72
101,5.33931255420825e+87
117,4.21607924620833e+101
104,2.15403242182485e+90
87,3.69181432958047e+75
82,1.67608111259088e+71
112,1.91409701650928e+97
103,2.91516587908512e+89
104,2.15403242182485e+90
101,5.33931255420825e+87
94,4.43979172909438e+81
112,1.91409701650928e+97
108,6.42108015218561e+93
99,9.77929206569632e+85
92,8.13176220512814e+79
89,2.01566232660946e+77
96,2.42404414941008e+83
92,8.13176220512814e+79
110,3.50579097523875e+95
98,1.32348326156457e+85
88,2.72790231881061e+76
88,2.72790231881061e+76
96,2.42404414941008e+83
97,1.79113982062757e+84
98,1.32348326156457e+85
108,6.42108015218561e+93
98,1.32348326156457e+85
103,2.91516587908512e+89
130,8.25211544181389e+112
96,2.42404414941008e+83
104,2.15403242182485e+90
108,6.42108015218561e+93
98,1.32348326156457e+85
112,1.91409701650928e+97
90,1.48938420078184e+78
95,3.28058701538467e+82
91,1.1005143412438e+79
99,9.77929206569632e+85
102,3.94524799927694e+88
99,9.77929206569632e+85
99,9.77929206569632e+85
113,1.41433702337829e+98
97,1.79113982062757e+84
94,4.43979172909438e+81
105,1.59162664037792e+91
101,5.33931255420825e+87
102,3.94524799927694e+88
103,2.91516587908512e+89
94,4.43979172909438e+81
121,1.25679551029856e+105
86,4.99632737950758e+74
103,2.91516587908512e+89
104,2.15403242182485e+90
100,7.22597376812575e+86
109,4.74457214602297e+94
120,1.70088776356759e+104
95,3.28058701538467e+82
90,1.48938420078184e+78
92,8.13176220512814e+79
106,1.1760618534305e+92
99,9.77929206569632e+85
93,6.00860471168559e+80
101,5.33931255420825e+87
98,1.32348326156457e+85
100,7.22597376812575e+86
103,2.91516587908512e+89
96,2.42404414941008e+83
92,8.13176220512814e+79
103,2.91516587908512e+89
110,3.50579097523875e+95
104,2.15403242182485e+90
96,2.42404414941008e+83
102,3.94524799927694e+88
95,3.28058701538467e+82
102,3.94524799927694e+88
93,6.00860471168559e+80
112,1.91409701650928e+97
95,3.28058701538467e+82
115,7.72201849998384e+99
97,1.79113982062757e+84
101,5.33931255420825e+87
117,4.21607924620833e+101
100,7.22597376812575e+86
111,2.59044861871639e+96
94,4.43979172909438e+81
99,9.77929206569632e+85
92,8.13176220512814e+79
105,1.59162664037792e+91
97,1.79113982062757e+84
94,4.43979172909438e+81
104,2.15403242182485e+90
97,1.79113982062757e+84
105,1.59162664037792e+91
103,2.91516587908512e+89
101,5.33931255420825e+87
93,6.00860471168559e+80
109,4.74457214602297e+94
108,6.42108015218561e+93
104,2.15403242182485e+90
103,2.91516587908512e+89
105,1.59162664037792e+91
118,3.11528460677706e+102
106,1.1760618534305e+92
92,8.13176220512814e+79
100,7.22597376812575e+86
90,1.48938420078184e+78
111,2.59044861871639e+96
111,2.59044861871639e+96
116,5.70584278933609e+100
101,5.33931255420825e+87
96,2.42404414941008e+83
111,2.59044861871639e+96
85,6.76179381048501e+73
106,1.1760618534305e+92
99,9.77929206569632e+85
103,2.91516587908512e+89
89,2.01566232660946e+77
123,6.86187098322628e+106
76,1.0298198277161e+66
103,2.91516587908512e+89
89,2.01566232660946e+77
99,9.77929206569632e+85
99,9.77929206569632e+85
84,9.15109280529564e+72
109,4.74457214602297e+94
96,2.42404414941008e+83
94,4.43979172909438e+81
87,3.69181432958047e+75
81,2.26832912100024e+70
102,3.94524799927694e+88
106,1.1760618534305e+92
95,3.28058701538467e+82
103,2.91516587908512e+89
120,1.70088776356759e+104
88,2.72790231881061e+76
99,9.77929206569632e+85
121,1.25679551029856e+105
92,8.13176220512814e+79
118,3.11528460677706e+102
90,1.48938420078184e+78
104,2.15403242182485e+90
95,3.28058701538467e+82
91,1.1005143412438e+79
96,2.42404414941008e+83
78,5.62262574607503e+67
98,1.32348326156457e+85
111,2.59044861871639e+96
100,7.22597376812575e+86
107,8.68998701081032e+92
95,3.28058701538467e+82
107,8.68998701081032e+92
107,8.68998701081032e+92
113,1.41433702337829e+98
94,4.43979172909438e+81
119,2.30190127236108e+103
106,1.1760618534305e+92
87,3.69181432958047e+75
87,3.69181432958047e+75
121,1.25679551029856e+105
113,1.41433702337829e+98
97,1.79113982062757e+84
86,4.99632737950758e+74
95,3.28058701538467e+82
99,9.77929206569632e+85
91,1.1005143412438e+79
99,9.77929206569632e+85
101,5.33931255420825e+87
102,3.94524799927694e+88
112,1.91409701650928e+97
94,4.43979172909438e+81
110,3.50579097523875e+95
101,5.33931255420825e+87
127,2.04549491134983e+110
102,3.94524799927694e+88
99,9.77929206569632e+85
90,1.48938420078184e+78
106,1.1760618534305e+92
111,2.59044861871639e+96
