"predictor","response"
1,970
2,871
3,726
4,689
5,783
6,652
7,743
8,690
9,642
10,580
11,577
12,590
13,521
14,577
15,524
16,574
17,556
18,605
19,525
20,516
21,509
22,538
23,512
24,547
25,528
26,521
27,507
28,475
29,498
30,457
31,447
32,453
33,530
34,415
35,447
36,512
37,476
38,560
39,450
40,460
41,393
42,474
43,515
44,425
45,511
46,447
47,353
48,505
49,495
50,468
51,494
52,442
53,411
54,475
55,456
56,474
57,437
58,465
59,516
60,443
61,397
62,555
63,430
64,337
65,460
66,517
67,391
68,376
69,398
70,465
71,449
72,418
73,385
74,434
75,477
76,428
77,385
78,441
79,363
80,436
81,412
82,430
83,382
84,366
85,524
86,380
87,344
88,433
89,364
90,331
91,465
92,353
93,450
94,375
95,427
96,383
97,466
98,342
99,469
100,367
101,375
102,408
103,425
104,388
105,290
106,422
107,417
108,341
109,454
110,446
111,432
112,470
113,410
114,272
115,383
116,360
117,364
118,400
119,382
120,389
121,506
122,350
123,442
124,416
125,370
126,450
127,443
128,408
129,442
130,334
131,370
132,316
133,392
134,321
135,349
136,370
137,356
138,260
139,358
140,386
141,293
142,398
143,293
144,355
145,364
146,382
147,388
148,468
149,351
150,386
151,286
152,399
153,386
154,399
155,315
156,406
157,448
158,442
159,324
160,348
161,362
162,333
163,390
164,365
165,294
166,354
167,288
168,346
169,360
170,356
171,383
172,373
173,403
174,371
175,301
176,408
177,305
178,412
179,398
180,412
181,348
182,348
183,386
184,316
185,465
186,338
187,331
188,343
189,324
190,367
191,348
192,324
193,392
194,352
195,369
196,486
197,433
198,285
199,355
200,395
201,379
202,428
203,282
204,389
205,381
206,344
207,326
208,317
209,291
210,279
211,379
212,376
213,299
214,317
215,412
216,317
217,302
218,387
219,289
220,332
221,346
222,357
223,357
224,317
225,293
226,336
227,339
228,365
229,255
230,305
231,385
232,338
233,234
234,350
235,241
236,327
237,328
238,403
239,283
240,374
241,381
242,365
243,422
244,391
245,404
246,267
247,331
248,356
249,247
250,289
251,319
252,329
253,375
254,401
255,333
256,302
257,370
258,307
259,311
260,320
261,346
262,217
263,322
264,266
265,267
266,358
267,242
268,338
269,311
270,387
271,293
272,309
273,458
274,367
275,285
276,317
277,272
278,253
279,369
280,294
281,304
282,272
283,315
284,324
285,322
286,389
287,239
288,403
289,346
290,239
291,269
292,325
293,328
294,352
295,327
296,398
297,329
298,297
299,278
300,334
301,241
302,282
303,279
304,422
305,420
306,357
307,327
308,283
309,390
310,339
311,238
312,323
313,280
314,290
315,373
316,300
317,320
318,347
319,301
320,329
321,333
322,268
323,264
324,300
325,322
326,258
327,307
328,378
329,321
330,320
331,267
332,281
333,193
334,323
335,317
336,345
337,218
338,235
339,422
340,200
341,234
342,342
343,331
344,281
345,357
346,283
347,238
348,276
349,306
350,302
351,318
352,298
353,354
354,306
355,287
356,332
357,344
358,318
359,287
360,325
361,264
362,367
363,382
364,345
365,237
366,292
367,307
368,333
369,283
370,218
371,333
372,374
373,259
374,196
375,369
376,287
377,354
378,230
379,286
380,293
381,259
382,294
383,365
384,332
385,312
386,346
387,378
388,361
389,300
390,356
391,380
392,335
393,285
394,403
395,324
396,327
397,311
398,219
399,296
400,285
401,368
402,249
403,360
404,161
405,352
406,311
407,332
408,252
409,217
410,403
411,238
412,338
413,379
414,359
415,303
416,263
417,274
418,251
419,314
420,329
421,220
422,335
423,310
424,333
425,329
426,236
427,281
428,250
429,293
430,314
431,287
432,329
433,344
434,224
435,330
436,318
437,221
438,272
439,275
440,315
441,260
442,352
443,328
444,298
445,358
446,347
447,306
448,360
449,249
450,292
451,226
452,382
453,237
454,383
455,360
456,293
457,291
458,264
459,216
460,205
461,340
462,292
463,286
464,305
465,273
466,262
467,217
468,230
469,280
470,253
471,272
472,203
473,314
474,302
475,301
476,259
477,332
478,376
479,309
480,298
481,297
482,370
483,228
484,291
485,378
486,346
487,378
488,277
489,285
490,230
491,308
492,282
493,283
494,196
495,199
496,288
497,353
498,334
499,405
500,395
501,335
502,221
503,308
504,334
505,241
506,318
507,249
508,300
509,282
510,208
511,331
512,328
513,283
514,273
515,310
516,306
517,355
518,305
519,233
520,310
521,189
522,257
523,437
524,217
525,324
526,388
527,305
528,409
529,246
530,276
531,282
532,265
533,273
534,280
535,303
536,290
537,263
538,331
539,244
540,307
541,247
542,335
543,260
544,296
545,280
546,269
547,267
548,310
549,355
550,369
551,251
552,266
553,344
554,156
555,220
556,291
557,237
558,421
559,375
560,228
561,227
562,311
563,251
564,303
565,256
566,269
567,321
568,363
569,278
570,235
571,269
572,247
573,238
574,212
575,338
576,266
577,362
578,247
579,203
580,200
581,253
582,227
583,202
584,303
585,300
586,265
587,294
588,311
589,275
590,331
591,357
592,374
593,280
594,346
595,317
596,269
597,342
598,239
599,301
600,247
601,294
602,237
603,295
604,232
605,166
606,288
607,325
608,308
609,280
610,328
611,262
612,303
613,275
614,282
615,239
616,288
617,325
618,302
619,222
620,186
621,343
622,330
623,258
624,271
625,216
626,270
627,266
628,302
629,357
630,269
631,307
632,248
633,321
634,360
635,235
636,226
637,187
638,386
639,358
640,227
641,225
642,278
643,307
644,262
645,354
646,316
647,310
648,309
649,234
650,288
651,337
652,200
653,324
654,271
655,278
656,198
657,270
658,316
659,335
660,323
661,123
662,328
663,290
664,311
665,296
666,232
667,247
668,264
669,282
670,324
671,250
672,273
673,311
674,314
675,385
676,290
677,227
678,253
679,301
680,243
681,364
682,227
683,201
684,269
685,228
686,260
687,221
688,208
689,301
690,264
691,253
692,285
693,281
694,323
695,275
696,276
697,265
698,367
699,333
700,257
701,267
702,225
703,255
704,337
705,243
706,274
707,297
708,330
709,241
710,344
711,343
712,258
713,294
714,314
715,262
716,288
717,234
718,362
719,252
720,267
721,286
722,287
723,221
724,311
725,305
726,233
727,174
728,267
729,221
730,164
731,294
732,238
733,246
734,297
735,298
736,252
737,246
738,236
739,300
740,269
741,287
742,263
743,233
744,285
745,178
746,273
747,307
748,167
749,244
750,284
751,273
752,243
753,261
754,319
755,316
756,201
757,236
758,314
759,317
760,280
761,194
762,296
763,242
764,280
765,235
766,302
767,297
768,294
769,275
770,385
771,290
772,164
773,329
774,382
775,346
776,289
777,291
778,207
779,324
780,234
781,309
782,314
783,243
784,274
785,259
786,182
787,193
788,220
789,203
790,217
791,260
792,286
793,325
794,179
795,280
796,266
797,239
798,282
799,232
800,208
801,262
802,339
803,220
804,308
805,261
806,306
807,256
808,192
809,247
810,250
811,290
812,254
813,236
814,302
815,97
816,202
817,269
818,293
819,256
820,283
821,338
822,293
823,190
824,289
825,321
826,298
827,322
828,284
829,293
830,329
831,308
832,241
833,240
834,273
835,181
836,265
837,235
838,236
839,198
840,212
841,237
842,260
843,238
844,247
845,266
846,350
847,214
848,295
849,191
850,253
851,163
852,339
853,191
854,324
855,331
856,314
857,222
858,291
859,363
860,239
861,163
862,224
863,262
864,270
865,217
866,309
867,226
868,197
869,254
870,233
871,122
872,265
873,272
874,286
875,212
876,268
877,276
878,304
879,246
880,215
881,213
882,309
883,338
884,182
885,162
886,290
887,269
888,242
889,219
890,250
891,299
892,229
893,341
894,305
895,292
896,297
897,253
898,203
899,185
900,214
901,251
902,238
903,269
904,219
905,300
906,200
907,133
908,242
909,291
910,297
911,257
912,244
913,216
914,205
915,234
916,269
917,300
918,254
919,306
920,327
921,202
922,255
923,324
924,274
925,274
926,227
927,255
928,298
929,439
930,227
931,278
932,293
933,258
934,250
935,204
936,211
937,257
938,227
939,256
940,258
941,232
942,247
943,252
944,232
945,245
946,236
947,270
948,203
949,163
950,197
951,283
952,327
953,305
954,280
955,291
956,162
957,200
958,181
959,280
960,194
961,272
962,265
963,159
964,236
965,163
966,338
967,245
968,199
969,242
970,160
971,238
972,216
973,233
974,157
975,258
976,272
977,286
978,180
979,292
980,255
981,274
982,230
983,213
984,376
985,333
986,196
987,138
988,204
989,244
990,219
991,265
992,339
993,298
994,183
995,290
996,235
997,251
998,218
999,312
1000,217
