predictor,response,,
626.1232868,127,,
905.0647488,375,,
814.7135866,272,,
670.2796107,196,,
911.3939044,380,,
401.4100595,46,,
494.9494661,72,,
879.4921436,372,,
630.9218414,111,,
86.59419371,11,,
434.0411047,60,,
670.035016,168,,
17.36306679,8,,
3.442284185,8,,
603.9990336,134,,
521.3265573,96,,
290.9309939,25,,
153.7386202,15,,
78.11667025,13,,
181.7181115,19,,
584.8990767,106,,
141.4883477,16,,
413.3022991,46,,
530.0519143,79,,
297.6389944,32,,
117.1961057,7,,
151.4873726,11,,
405.9593782,61,,
223.8621309,18,,
508.668029,71,,
527.1496037,84,,
753.8642145,220,,
590.8006735,109,,
722.6649623,210,,
704.3971107,179,,
984.6178743,469,,
71.42934063,5,,
124.879176,12,,
505.7887291,84,,
36.85059166,5,,
965.2791398,442,,
983.6026782,469,,
209.7990697,17,,
215.8004092,19,,
402.2945042,48,,
927.2335428,418,,
982.2655842,521,,
691.0974386,191,,
705.5292719,191,,
116.576279,8,,
992.7889791,496,,
954.070959,458,,
779.7742758,245,,
725.1556725,200,,
721.1103593,187,,
536.5079688,91,,
33.75283442,8,,
599.4448599,140,,
778.9155671,254,,
388.5076139,47,,
950.2346187,431,,
455.0935149,66,,
418.7099636,46,,
195.0357985,17,,
157.6800221,12,,
783.2768364,259,,
483.5244655,54,,
337.4090549,32,,
844.2713169,319,,
504.3177686,63,,
377.6785519,41,,
739.4425827,184,,
448.6284873,55,,
419.9564785,48,,
868.7567653,371,,
51.39097874,8,,
231.9843122,17,,
939.3366277,414,,
159.265894,12,,
985.7890946,485,,
628.2194348,138,,
160.8040596,14,,
800.959412,289,,
110.0509369,12,,
786.0251684,259,,
986.7551452,494,,
668.2055695,151,,
688.3093577,182,,
347.0645742,27,,
527.762373,93,,
450.7438759,57,,
241.874513,29,,
585.5400013,122,,
604.3015481,112,,
390.8878153,44,,
641.1544059,133,,
623.00978,140,,
258.2298676,17,,
199.1995883,20,,
586.7102421,115,,
720.8694869,186,,
75.87389345,9,,
726.1665929,226,,
149.603524,13,,
457.3470023,63,,
586.609154,101,,
604.2100186,119,,
564.4287346,92,,
176.4653197,15,,
513.1162042,76,,
368.8656848,58,,
263.1287109,36,,
921.3626711,400,,
866.3937168,341,,
158.3716313,18,,
489.7729766,72,,
993.2923531,483,,
47.58299305,7,,
225.3679684,25,,
394.5252127,54,,
679.4243292,155,,
883.4388477,379,,
317.9280295,28,,
493.5580867,86,,
961.4424512,450,,
969.4262748,472,,
708.450763,210,,
643.9950825,139,,
265.2939972,29,,
949.8044029,441,,
70.31718781,5,,
170.1857874,10,,
543.6642722,91,,
537.1379759,105,,
437.0391788,50,,
234.2211767,19,,
994.3374833,485,,
745.6226579,220,,
389.2796137,49,,
482.2479237,64,,
150.82448,11,,
220.2872408,20,,
899.0490776,394,,
620.1290058,140,,
120.0215435,7,,
823.3191755,279,,
905.568179,366,,
27.31599356,13,,
439.2760354,65,,
920.4447353,412,,
441.5419362,57,,
595.7166529,117,,
180.1445766,12,,
734.6460295,221,,
13.65307835,11,,
395.6225524,44,,
736.0936704,220,,
910.1225606,400,,
9.441861417,6,,
440.5514102,65,,
728.3519942,216,,
754.8089691,236,,
498.1706019,74,,
421.5497719,45,,
103.7959144,8,,
789.4984181,249,,
84.16356146,8,,
378.8144267,43,,
13.82745686,2,,
818.9373543,299,,
769.8365378,245,,
93.90948713,11,,
174.2834649,22,,
580.4531607,115,,
433.1906317,48,,
655.8381983,152,,
966.2654721,467,,
348.834218,32,,
263.0630129,31,,
621.0283272,137,,
946.4626058,427,,
786.4150808,234,,
871.5555936,357,,
272.1302975,24,,
663.6424439,160,,
848.5559162,311,,
857.4428165,321,,
204.9374166,14,,
812.2967726,285,,
710.7946316,176,,
552.4564309,84,,
604.2363548,112,,
901.4847875,389,,
771.8561382,252,,
126.3533307,16,,
740.8010941,227,,
192.6955411,19,,
860.9250013,326,,
214.1420755,18,,
853.2318654,327,,
884.220819,349,,
916.0366924,388,,
294.3584442,26,,
826.986711,292,,
346.9432842,33,,
147.1670961,13,,
696.8255236,174,,
978.5170092,481,,
492.4823449,81,,
563.3661521,110,,
444.3352397,61,,
368.9123213,45,,
584.5736184,102,,
945.4505129,423,,
118.6392216,20,,
857.7508305,345,,
814.5113948,279,,
962.3192886,456,,
987.6340588,487,,
807.6850593,278,,
172.734709,17,,
82.36957528,10,,
516.9433132,89,,
324.0277104,35,,
589.5908126,121,,
