undergrad missedBugs
1 4
2 1
3 0
4 0
5 0
6 0
7 0
8 0
9 3
10 2
11 2
12 0
13 0
14 1
15 2
16 1
17 2
18 1
19 1
20 0
21 5
22 1
23 0
24 2
25 4
26 0
27 0
28 2
29 0
30 0
31 0
32 1
33 1
34 0
35 0
36 0
37 4
38 1
39 2
40 0
41 0
42 0
43 0
44 1
45 0
46 1
47 2
48 5
49 1
50 0
51 2
52 1
53 0
54 3
55 0
56 2
57 0
58 0
59 0
60 1
61 3
62 0
63 4
64 3
65 0
66 3
67 0
68 0
69 0
70 3
71 1
72 1
73 2
74 0
75 0
76 0
77 0
78 0
79 0
80 1
81 0
82 0
83 3
84 0
85 6
86 0
87 2
88 1
89 0
90 0
91 1
92 2
93 1
94 0
95 0
96 0
97 2
98 0
99 0
100 0
