undergrad pollinatorCount
1 13
2 11
3 11
4 16
5 10
6 7
7 8
8 7
9 5
10 8
11 13
12 17
13 7
14 15
15 8
16 7
17 9
18 11
19 20
20 12
21 8
22 8
23 12
24 9
25 6
26 12
27 8
28 9
29 12
30 8
31 9
32 7
33 6
34 13
35 8
36 9
37 5
38 8
39 14
40 6
41 9
42 6
43 4
44 13
45 10
46 9
47 8
48 7
49 10
50 7
51 9
52 8
53 7
54 11
55 11
56 6
57 13
58 9
59 15
60 12
61 9
62 16
63 10
64 10
65 14
66 8
67 11
68 10
69 11
70 8
71 10
72 12
73 10
74 11
75 14
76 9
77 6
78 16
79 8
80 8
81 12
82 7
83 8
84 4
85 5
86 12
87 7
88 9
89 13
90 14
91 9
92 10
93 6
94 9
95 7
96 15
97 6
98 13
99 14
100 9
